               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.017235,           0.0069686,                   0,             0.99879,                   1,               0.995,             0.87953,            0.013232,           0.0046237,                   0,            0.070357,           0.0032937,           0.0032937
                   1,            0.019031,           0.0074677,                   0,             0.99757,                   1,               0.995,              0.8643,            0.014825,            0.004719,                   0,            0.040335,           0.0066051,           0.0066051
                   2,            0.021724,           0.0077521,                   0,             0.99906,                   1,               0.995,             0.67151,            0.022608,            0.005195,                   0,            0.010291,           0.0098946,           0.0098946
                   3,            0.024831,            0.007777,                   0,             0.81487,                   1,             0.92776,             0.66779,            0.025504,           0.0051155,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.026003,           0.0075506,                   0,              0.9971,                   1,               0.995,             0.73842,            0.020777,           0.0050042,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.025664,           0.0085683,                   0,             0.93648,                   1,             0.98936,             0.78814,            0.019667,           0.0049828,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.024775,           0.0076123,                   0,             0.99743,                   1,               0.995,             0.77117,             0.01889,           0.0048398,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.024334,           0.0079175,                   0,             0.99683,                   1,               0.995,             0.72437,            0.022769,           0.0051422,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.025992,           0.0075658,                   0,             0.99721,                   1,               0.995,             0.81861,            0.019356,           0.0046048,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.024775,           0.0074496,                   0,             0.99745,                   1,               0.995,             0.79526,            0.019721,           0.0050201,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.025895,           0.0078596,                   0,              0.9977,                   1,               0.995,             0.74361,            0.021987,           0.0046887,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.024572,           0.0078988,                   0,             0.99704,                   1,               0.995,             0.80348,            0.018135,           0.0048223,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.025297,           0.0073703,                   0,             0.99712,                   1,               0.995,             0.73031,            0.022422,           0.0048042,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.025531,           0.0078976,                   0,             0.99494,                   1,               0.995,             0.73325,            0.019996,           0.0047296,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.025171,           0.0077063,                   0,             0.99651,                   1,               0.995,             0.68379,             0.02192,           0.0051415,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.024571,           0.0075996,                   0,             0.99678,                   1,               0.995,             0.75895,            0.023524,           0.0050904,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.025438,           0.0074698,                   0,             0.99693,                   1,               0.995,             0.79739,            0.020271,           0.0048269,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.02422,           0.0077531,                   0,             0.99485,                   1,               0.995,              0.7236,            0.022109,           0.0049293,                   0,            0.009472,            0.009472,            0.009472
