               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10454,            0.059333,                   0,           0.0016667,             0.12903,           0.0013268,          0.00046014,            0.078189,            0.030548,                   0,            0.070714,            0.003254,            0.003254
                   1,            0.077055,            0.033151,                   0,           0.0034444,                   1,            0.038345,            0.012997,            0.064229,            0.026051,                   0,            0.040693,           0.0065656,           0.0065656
                   2,             0.06657,            0.029184,                   0,            0.005948,                   1,             0.37196,             0.12784,            0.061135,            0.021999,                   0,            0.010649,           0.0098552,           0.0098552
                   3,            0.059607,            0.028514,                   0,                   1,             0.41928,             0.73864,              0.3528,            0.050287,            0.020789,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.054995,            0.027991,                   0,             0.83063,             0.70968,             0.86069,             0.22896,            0.048145,            0.017918,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.049727,            0.025934,                   0,             0.92422,             0.70968,             0.86771,             0.29541,            0.044052,            0.014705,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.045349,            0.019369,                   0,                   1,             0.90204,             0.96954,              0.4351,            0.042018,             0.01188,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.042401,            0.020244,                   0,             0.91653,             0.83871,              0.9257,             0.54397,            0.038802,            0.010065,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.043601,            0.014816,                   0,             0.99894,             0.90323,             0.98021,             0.55225,            0.034141,           0.0083664,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.038815,            0.012984,                   0,             0.98567,             0.90323,             0.96544,              0.5879,            0.030801,           0.0084116,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.038526,            0.013319,                   0,             0.83132,             0.95407,             0.83255,              0.5513,            0.028549,           0.0073699,                   0,            0.009703,            0.009703,            0.009703
